FREELANCER_ID,item_id
2,V0
220,V1
3192,V2
4218,V3
4258,V4
4916,V5
5388,V6
5505,V7
9918,V8
12700,V9
13529,V10
15961,V11
16018,V12
16783,V13
17313,V14
20480,V15
20950,V16
21209,V17
22172,V18
22829,V19
22998,V20
23270,V21
23425,V22
23611,V23
23688,V24
23719,V25
23861,V26
23887,V27
24153,V28
24219,V29
24438,V30
24699,V31
25025,V32
25147,V33
25232,V34
25287,V35
25439,V36
25555,V37
25574,V38
25661,V39
26063,V40
26111,V41
26148,V42
26198,V43
26411,V44
26451,V45
26553,V46
26995,V47
27198,V48
27430,V49
27454,V50
27460,V51
27787,V52
27791,V53
27820,V54
27859,V55
28107,V56
28925,V57
29019,V58
29341,V59
29377,V60
29677,V61
30171,V62
30596,V63
30619,V64
30844,V65
30952,V66
30982,V67
31092,V68
31191,V69
31238,V70
31276,V71
31358,V72
31432,V73
31614,V74
32269,V75
32362,V76
32608,V77
32977,V78
33298,V79
33454,V80
33679,V81
33853,V82
34333,V83
34617,V84
34628,V85
34633,V86
34743,V87
34745,V88
34921,V89
35196,V90
35349,V91
35400,V92
35533,V93
35611,V94
35920,V95
35991,V96
36076,V97
36372,V98
36842,V99
36911,V100
37026,V101
37418,V102
37783,V103
38004,V104
38425,V105
38508,V106
38562,V107
38854,V108
38865,V109
39101,V110
39351,V111
39527,V112
40097,V113
40399,V114
41681,V115
41683,V116
42163,V117
42543,V118
42734,V119
42815,V120
43701,V121
43749,V122
43776,V123
44217,V124
44407,V125
44465,V126
44811,V127
44903,V128
45307,V129
45755,V130
45815,V131
45920,V132
46429,V133
46526,V134
46609,V135
46761,V136
46771,V137
47279,V138
47418,V139
47548,V140
47928,V141
48461,V142
49354,V143
49810,V144
50038,V145
50079,V146
50299,V147
50318,V148
50710,V149
50715,V150
50852,V151
50946,V152
51057,V153
51125,V154
51135,V155
51279,V156
51409,V157
51429,V158
51622,V159
51696,V160
51718,V161
52296,V162
52576,V163
52662,V164
53239,V165
53270,V166
53362,V167
53778,V168
55118,V169
56381,V170
57028,V171
58505,V172
61373,V173
61596,V174
61874,V175
62394,V176
63662,V177
68857,V178
68868,V179
68906,V180
69575,V181
69889,V182
70054,V183
70157,V184
70401,V185
70560,V186
70626,V187
71176,V188
71262,V189
71290,V190
71682,V191
71715,V192
71860,V193
72268,V194
72357,V195
72421,V196
73087,V197
73478,V198
73678,V199
73869,V200
73970,V201
74003,V202
74232,V203
74906,V204
75032,V205
75328,V206
75638,V207
75868,V208
76041,V209
76354,V210
76380,V211
76395,V212
77452,V213
77585,V214
77629,V215
78087,V216
78545,V217
79420,V218
80039,V219
80937,V220
81091,V221
81197,V222
81950,V223
82012,V224
82139,V225
82249,V226
82251,V227
82290,V228
82603,V229
82680,V230
82704,V231
82741,V232
82813,V233
83587,V234
84026,V235
84168,V236
84303,V237
84899,V238
84926,V239
84963,V240
86655,V241
87172,V242
87243,V243
87415,V244
87971,V245
88004,V246
88006,V247
88811,V248
90011,V249
90132,V250
90501,V251
90640,V252
90662,V253
90721,V254
90964,V255
91171,V256
92311,V257
92514,V258
92616,V259
92670,V260
93719,V261
93786,V262
93922,V263
94026,V264
94221,V265
94375,V266
94729,V267
95277,V268
95380,V269
95499,V270
95665,V271
96204,V272
96251,V273
96739,V274
96778,V275
97114,V276
97286,V277
97385,V278
98058,V279
98181,V280
98381,V281
99293,V282
99848,V283
100091,V284
100166,V285
100265,V286
100383,V287
100430,V288
100715,V289
101063,V290
101331,V291
101712,V292
101861,V293
102096,V294
102221,V295
102516,V296
102634,V297
103337,V298
104355,V299
104465,V300
104785,V301
105137,V302
105174,V303
105177,V304
105838,V305
105904,V306
105907,V307
106019,V308
106205,V309
106249,V310
106512,V311
106999,V312
107024,V313
107183,V314
107643,V315
107729,V316
107971,V317
108113,V318
108228,V319
108524,V320
108752,V321
108837,V322
108852,V323
109161,V324
110211,V325
110414,V326
111200,V327
111719,V328
112429,V329
112795,V330
113169,V331
113565,V332
113869,V333
114107,V334
114507,V335
114581,V336
115168,V337
115214,V338
115849,V339
116415,V340
116476,V341
116968,V342
117044,V343
117171,V344
117606,V345
117615,V346
118288,V347
118905,V348
119346,V349
119494,V350
119610,V351
119633,V352
119711,V353
119713,V354
119757,V355
119934,V356
120461,V357
120568,V358
120900,V359
121454,V360
121533,V361
121739,V362
122340,V363
123617,V364
123709,V365
123950,V366
124256,V367
125610,V368
125992,V369
126246,V370
126449,V371
126960,V372
127035,V373
127282,V374
127432,V375
127445,V376
128620,V377
129037,V378
129051,V379
129139,V380
129354,V381
129585,V382
129973,V383
130281,V384
131058,V385
131376,V386
131400,V387
131550,V388
131566,V389
132626,V390
132814,V391
133279,V392
133300,V393
133417,V394
134207,V395
134222,V396
134318,V397
134519,V398
134595,V399
134830,V400
134965,V401
134967,V402
135074,V403
135098,V404
135843,V405
136266,V406
136456,V407
136560,V408
136563,V409
136628,V410
136790,V411
137058,V412
137155,V413
137182,V414
137571,V415
137718,V416
138788,V417
139184,V418
139411,V419
139687,V420
139814,V421
140204,V422
140334,V423
140956,V424
141073,V425
141133,V426
141523,V427
141840,V428
142540,V429
143056,V430
143108,V431
143893,V432
144221,V433
144645,V434
145727,V435
145832,V436
146141,V437
147075,V438
147845,V439
148016,V440
148083,V441
148116,V442
148157,V443
148480,V444
148949,V445
149352,V446
149422,V447
149555,V448
150123,V449
151006,V450
151407,V451
151412,V452
151613,V453
152114,V454
152213,V455
152392,V456
152523,V457
152865,V458
152947,V459
152985,V460
153552,V461
153615,V462
153667,V463
154184,V464
154519,V465
154572,V466
154663,V467
155470,V468
155999,V469
156208,V470
156377,V471
156806,V472
156913,V473
156972,V474
157188,V475
157384,V476
157853,V477
158026,V478
158043,V479
158372,V480
158586,V481
158781,V482
159565,V483
159709,V484
159988,V485
160135,V486
160537,V487
160576,V488
160883,V489
161026,V490
161703,V491
161973,V492
162237,V493
162445,V494
162760,V495
163621,V496
164609,V497
164686,V498
164690,V499
164900,V500
165029,V501
165550,V502
165998,V503
167308,V504
167993,V505
168157,V506
168239,V507
168786,V508
168875,V509
169123,V510
169216,V511
169615,V512
169625,V513
170284,V514
170710,V515
171354,V516
172002,V517
172481,V518
172574,V519
172672,V520
173213,V521
175172,V522
175638,V523
175668,V524
176077,V525
176090,V526
176201,V527
176698,V528
177294,V529
177529,V530
178145,V531
178267,V532
179173,V533
179321,V534
179387,V535
180674,V536
180807,V537
182238,V538
182704,V539
182896,V540
182933,V541
182998,V542
183620,V543
184763,V544
185113,V545
185368,V546
185533,V547
185631,V548
186836,V549
187902,V550
188421,V551
188948,V552
189661,V553
189738,V554
189889,V555
190072,V556
190243,V557
190393,V558
191387,V559
191509,V560
192018,V561
192303,V562
194264,V563
194563,V564
195341,V565
197205,V566
199928,V567
200054,V568
200128,V569
200831,V570
